directorid,directorname,companyname,qualification,fulltextdescription,primarykeyid,companyid,awarddate,awarddateflag
1026,Chris Viehbacher,Canadian Institute of Chartered Accountants (CICA),Chartered Accountant,,486739,56019,9999-12-31,80
1026,Chris Viehbacher,Queen's University,Degree,,486738,63329,9999-12-31,80
1026,Chris Viehbacher,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,1153612,54373,9999-12-31,80
10701,Doctor Gary Wilcox,University of California Santa Barbara (UCSB),MA,,160176,62214,9999-12-31,80
10701,Doctor Gary Wilcox,University of California Santa Barbara (UCSB),PhD,,160178,62214,9999-12-31,80
10701,Doctor Gary Wilcox,University of California Santa Barbara (UCSB),BA,,160172,62214,1968-12-31,25
11536,Todd Davis,United States Naval Academy (USNA),BS,,13655,377927,1982-12-31,25
11536,Todd Davis,Harvard Business School Harvard University,MBA,,13652,63013,1997-12-31,25
13319,Michel Combes,Conservatoire National des Arts et Métiers (CNAM),PhD,,1736716,44500,9999-12-31,80
13319,Michel Combes,École Polytechnique - Paris,Graduated,,1446497,60598,9999-12-31,80
13319,Michel Combes,École Nationale Superieure des Telecommunications (ENST) (Telecom) (Telecom ParisTech),Graduated,,15871,60592,9999-12-31,80
13319,Michel Combes,Université Paris-Dauphine Paris (Paris-Dauphine University),PhD,,15870,57519,9999-12-31,80
13520,Rich Templeton,Union College,BS,,19903,62108,1980-12-31,25
16535,Doctor Claus Møller-San Pedro,Københavns Universitet (University of Copenhagen),MD,,5325,62266,9999-12-31,80
16535,Doctor Claus Møller-San Pedro,Københavns Universitet (University of Copenhagen),PhD,,5326,62266,9999-12-31,80
30095,Doctor Klaus-Christian Kleinfeld,Unknown Organisation,Dipl.-kfm,,1154723,0,9999-12-31,80
30095,Doctor Klaus-Christian Kleinfeld,Georg August Universität Göttingen (Georg August University of Göttingen),MBA,,16266,62327,1982-12-31,25
30095,Doctor Klaus-Christian Kleinfeld,University of Würtzburg,PhD,,16267,63100,1992-12-31,25
31551,Ken Frazier,Harvard Law School Harvard University,JD,,20263,63035,1978-12-31,25
31551,Ken Frazier,Pennsylvania State University (Penn State University),BA,,20264,61582,1975-12-31,25
32367,Jeff Immelt,Harvard Business School Harvard University,MBA,,17827,63013,1982-12-31,25
32367,Jeff Immelt,Dartmouth College,AB (cum laude),,17826,60488,1978-12-31,25
32370,Jim McNerney Jr,Harvard Business School Harvard University,MBA,,17850,63013,1975-12-31,25
32370,Jim McNerney Jr,Yale University,BA,,17849,62981,1971-12-31,25
32375,John Rice,Hamilton College,BA,,17875,60814,1979-12-31,25
32458,Dave Calhoun,Virginia Polytechnic Institute and State University (Virginia Tech),BS,,17927,110197,1979-12-31,25
32459,Scott Donnelly,University of Colorado Boulder,BS,,17751,62260,1984-12-31,25
32603,Mike Dell,University of Texas at Austin (UT Austin),Attended,,17988,62742,1984-12-31,25
33049,Ari Bousbib,École Special des Travaux Publics du Batiment et de l'Industrie (ESTP),MS,,17992,63376,1985-12-31,25
33049,Ari Bousbib,Columbia Business School Columbia University,MBA,,17993,63118,1987-12-31,25
33316,Doctor John Lechleiter,Harvard University,PhD,,120693,63830,1980-12-31,25
33316,Doctor John Lechleiter,University of Indianapolis,Doctorate (Hons),,2427047,92732,9999-12-31,80
33316,Doctor John Lechleiter,Marian University,Doctorate (Hons),,2427045,1491204,9999-12-31,80
33316,Doctor John Lechleiter,National University of Ireland,Doctorate (Hons),,2427049,63241,9999-12-31,80
33316,Doctor John Lechleiter,Xavier University Ohio,BS (cum laude),,120678,73904,1975-12-31,25
33316,Doctor John Lechleiter,Indiana University,Doctorate (Hons),,2427051,60920,9999-12-31,80
33316,Doctor John Lechleiter,Franklin College,Doctorate (Hons),,2427052,661622,9999-12-31,80
33316,Doctor John Lechleiter,Harvard University,MS,,120679,63830,1976-12-31,25
33316,Doctor John Lechleiter,Purdue University,Doctorate (Hons),,2427053,61638,9999-12-31,80
33491,Professor Doctor Jeff Leiden,University of Chicago,PhD,,19046,42092,1981-12-31,25
33491,Professor Doctor Jeff Leiden,Harvard University,MA (Hons),,657884,63830,9999-12-31,80
33491,Professor Doctor Jeff Leiden,University of Chicago,MD,,19047,42092,1979-12-31,25
33491,Professor Doctor Jeff Leiden,University of Chicago,BS,,19045,42092,1977-12-31,25
33503,Safra Catz,Carey Law School University of Pennsylvania (Formerly known as University of Pennsylvania Law School),JD,,1312308,74077,1986-12-28,25
33503,Safra Catz,Wharton School (The) University of Pennsylvania,BS,,549873,64966,1983-12-31,25
34345,Meg Whitman,Harvard Business School Harvard University,MBA,,19736,63013,1979-12-31,25
34345,Meg Whitman,Princeton University,BA (Hons),,19735,61632,1977-12-31,25
34345,Meg Whitman,Cold Spring Harbor High School,Attended,,940438,1342725,9999-12-31,80
34717,Doctor Keh-Shew Lu,Texas Tech University (TTU),MS,,20225,62046,1973-12-31,25
34717,Doctor Keh-Shew Lu,National Cheng Kung University (NCKU),BS,,20224,61373,1969-12-31,25
34717,Doctor Keh-Shew Lu,Texas Tech University (TTU),PhD,,20226,62046,1977-12-31,25
34852,Gregg Lowe,Stanford Graduate School of Business,Stanford Executive Program,,490085,67360,1997-12-28,25
34852,Gregg Lowe,Rose-Hulman Institute of Technology (RHIT),BS,,490084,61714,1984-12-31,25
35469,Vincent Roche,University of Limerick,BSEE,,476329,62415,1981-12-31,25
36594,Mike Sherman,Tuck School of Business Dartmouth,MBA,,540187,632975,1992-12-28,25
36594,Mike Sherman,DePauw University,BA,,540189,60500,1988-12-28,25
36907,Larry Culp Jr,Washington College,BA,,33611,98701,1985-12-31,25
36907,Larry Culp Jr,Harvard Business School Harvard University,MBA,,33616,63013,1990-12-31,25
41606,Lamberto Andreotti,Università degli Studi di Roma La Sapienza (La Sapienza University of Rome),BS,,580825,62703,9999-12-31,80
41606,Lamberto Andreotti,Massachusetts Institute of Technology (MIT),MS,,480588,40436,9999-12-31,80
45561,Phebe Novakovic,Smith College,Graduated,,32827,61849,1979-12-28,25
45561,Phebe Novakovic,Wharton School (The) University of Pennsylvania,MBA,,32832,64966,1988-12-31,25
47456,Doctor John Martin,Purdue University,BS (Hons),,315860,61638,1973-12-31,25
47456,Doctor John Martin,University of Chicago,PhD,,34787,42092,1978-12-31,25
47456,Doctor John Martin,Golden Gate University,MBA,,315859,60763,1984-12-28,25
47596,Doctor Norbert Bischofberger,Eidgenössische Technische Hochschule Zürich (ETH) (Swiss Federal Institute of Technology Zurich),PhD,,34442,462457,1983-12-28,25
47596,Doctor Norbert Bischofberger,Leopold-Franzens Universität Innsbruck (University of Innsbruck),BS,,34427,62371,1980-12-28,25
48076,Bob Swan,State University of New York Buffalo (SUNYB) (University at Buffalo) (Formerly known as University of Buffalo),BS,,32196,83168,1983-12-28,25
48076,Bob Swan,Binghamton University,MBA,,32201,61944,1985-12-28,25
48201,Doctor John Milligan,University of California San Francisco (UCSF),Postdoctoral Fellow,,571168,62221,1990-12-28,25
48201,Doctor John Milligan,University of Illinois Urbana-Champaign (UIUC),PhD,,34907,77782,1988-12-28,25
48201,Doctor John Milligan,Ohio Wesleyan University,BA,,1280928,61525,1983-12-28,25
48521,Doctor Steve Paul,School of Medicine Tulane University,MS,,45761,118011,1975-12-31,25
48521,Doctor Steve Paul,Tulane University,BA (magna cum laude),,45756,62098,1972-12-31,25
48521,Doctor Steve Paul,School of Medicine Tulane University,MD,,45776,118011,1975-12-31,25
49321,Doctor Scott Koenig,Cornell University  New York,AB,,35057,60457,1973-12-28,25
49321,Doctor Scott Koenig,Hospital of the University of Pennsylvania (HUP),Completed,,1355036,1729141,9999-12-31,80
49321,Doctor Scott Koenig,University of Texas Health Science Center at Houston,MD,,35052,92992,9999-12-31,80
49321,Doctor Scott Koenig,Hospital of the University of Pennsylvania (HUP),Certified,,1355038,1729141,9999-12-31,80
49321,Doctor Scott Koenig,Cornell University  New York,PhD,,35062,60457,1979-12-28,25
49336,Michael Richman,San Francisco State University,Master of Science in Business Administration (MSBA),,35372,61777,1984-12-31,25
49336,Michael Richman,University of California Davis,BS,,35382,62216,1983-12-31,25
49801,Mike Brown,Stanford Graduate School of Business,MBA,,34216,67360,1984-12-28,25
49801,Mike Brown,Harvard Business School Harvard University,BA,,34211,63013,1980-12-28,25
55406,Jim Mullen,Villanova University,MBA,,44091,62858,1984-12-31,25
55406,Jim Mullen,Rensselaer Polytechnic Institute (RPI),BS,,44086,61687,1980-12-31,25
55572,John Daane,University of California Berkeley,BA,,40062,62215,1986-12-31,25
56076,Murray Kessler,Leonard N Stern School of Business New York University,MBA,,491772,42226,9999-12-31,80
56076,Murray Kessler,Villanova University,BS,,491771,62858,1981-12-28,25
56477,D Durcan,Rice University,MSc,,47067,61692,1983-12-31,25
56477,D Durcan,Rice University,BSc,,47062,61692,1982-12-31,25
57512,Doctor Paul Grint,St Mary's College,BS,,1356576,2369006,9999-12-31,80
57512,Doctor Paul Grint,St Bartholomew's Hospital Medical College University of London,Bachelor's Degree,,3810219,600128,9999-12-31,80
57512,Doctor Paul Grint,St Bartholomew's Hospital Medical College University of London,MD,,43167,600128,1982-12-28,25
59002,Rick Hill,University of Illinois at Chicago (UIC),BS,,70717,62367,1974-12-31,25
59002,Rick Hill,Syracuse University,MBA,,70722,61983,1983-12-28,25
61502,Steve Sanghi,University of Massachusetts,MS,,267,63512,1978-12-31,25
61502,Steve Sanghi,University of Punjab India,BS,,307,633332,1975-12-31,25
61667,Ganesh Moorthy,National University Sacramento,MBA,,187,104822,1987-12-31,25
61667,Ganesh Moorthy,University of Mumbai (University of Bombay prior to 09/1996),BS,,197,76151,1979-12-31,25
61667,Ganesh Moorthy,University of Washington,BS,,48267,62785,1981-12-31,25
61782,Paul Bisaro,University of Michigan,Bachelor's Degree,,533963,63187,1983-12-28,25
61782,Paul Bisaro,Catholic University of America Columbus School of Law,JD,,533964,79142,1989-12-28,25
64702,Doctor Aart De Geus,Southern Methodist University (SMU),PhD,,52092,61882,1985-12-31,25
64702,Doctor Aart De Geus,École Polytechnique Fédérale de Lausanne (EPFL) (Federal Polytechnic University of Lausanne),MSEE,,52082,602911,1978-12-31,25
70477,Ajay Shah,Stanford University,MS,,70397,61935,1982-12-31,25
70477,Ajay Shah,Maharaja Sayajirao University of Baroda (The),BS,,71612,124797,1981-12-31,25
81327,Ed West V,Emory University,BBA,,69717,60627,1988-12-31,25
86007,Mark Hurd,Baylor University,BBA,,330013,60138,1979-12-31,25
86542,Joel Ackerman,Harvard University,MA,,73447,63830,1990-12-28,25
86542,Joel Ackerman,Columbia University,BA (summa cum laude),,73442,60434,1988-12-28,25
90127,Chuck Swoboda,Marquette University College of Engineering,Bachelor's Degree,,2374475,2544607,1989-12-28,25
103982,Larry Mendelson,Columbia University,AB,,1555842,60434,1960-12-28,25
103982,Larry Mendelson,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,290489,54373,9999-12-31,80
103982,Larry Mendelson,Columbia University,MBA,,290502,60434,1961-12-28,25
104962,Richard Pops,Stanford University,BA,,120474,61935,1983-12-31,25
141232,Howard Jonas,Harvard University,BA,,121235,63830,1978-12-31,25
141232,Howard Jonas,Bronx High School of Science (The),Graduated,,1518027,1216180,9999-12-31,80
182411,Lip-Bu Tan,Nanyang Technological University,BS,,162111,131087,1978-12-28,25
182411,Lip-Bu Tan,University of San Francisco (USF),MBA,,162279,62648,1983-12-28,25
182411,Lip-Bu Tan,Massachusetts Institute of Technology (MIT),MS,,162112,40436,1981-12-28,25
200240,Doctor David Parkinson,Faculty of Medicine University of Toronto,MD,,180288,1572690,1977-12-28,25
200485,Terren Peizer,Wharton School (The) University of Pennsylvania,BSE,,181431,64966,1981-12-31,25
201093,Doctor Len Schleifer,University of Virginia,PhD,,181331,62777,9999-12-31,80
201093,Doctor Len Schleifer,Cornell University  New York,Graduated,,524874,60457,1973-12-28,25
201093,Doctor Len Schleifer,University of Virginia,MD,,181330,62777,9999-12-31,80
201093,Doctor Len Schleifer,American Board of Psychiatry and Neurology Inc (ABPN),Certified,,181332,261577,9999-12-31,80
201483,Bill Nuti,Long Island University,BS,,293858,61173,1986-12-31,25
