tic,sic,gvkey
AMD,3674,1161
SWKS,3674,1327
LGTY,7372,1562
AMGN,2836,1602
ADI,3674,1632
BA,3721,2285
BMY,2834,2403
IMNN,2836,2990
CW,3728,3662
GTBP,2834,3691
DIOD,3674,3969
DCO,3728,4091
ENZN,2836,4409
ETCC,3728,4415
LSTA,2836,4632
MALJF,3728,4763
HEI,3724,5567
JNJ,2834,6266
LLY,2834,6730
MOG.A,3728,7549
NATR,2834,7799
PVCT,2834,9330
SIF,3724,9698
TXT,3721,10519
UG,2834,10902
RTX,3724,10983
MSFT,7372,12141
ORCL,7372,12142
REFR,8731,12377
CATX,2836,12818
ICAD,7372,12874
LADX,2836,13184
ZTS,2834,13721
BDRBF,3721,14078
MITK,7372,14113
HLF,2834,14269
TEVA,2834,14538
CSBR,2836,14983
ZLSCF,2834,15016
ENTA,2836,16269
NEOG,2834,16453
LSCC,3674,16597
TVTX,2836,16848
ANY,7372,16972
BLFS,2836,17199
SCPX,2836,17910
IQV,8731,17928
ESPR,2834,18162
TRAW,2836,18172
EVOK,2834,18173
PGEN,2836,18315
LPCN,2834,18424
VRNS,7372,19044
CAPR,2836,19205
MDWD,2836,19988
MEDP,8731,19998
CMCM,7372,20128
MTLS,7372,20129
ARDX,2836,20645
SNDX,2836,20649
AMPH,2834,20659
KE,3674,20692
MTNB,2836,20756
SLNO,2836,20898
SAGE,2836,20943
CYBR,7372,21002
CYTOF,2836,21208
KYNB,2836,21901
PYPD,2834,21967
CRBP,2836,22035
BCTX,2836,22358
INDV,2834,22410
ACB,2834,22449
CRON,2834,22460
ASND,2836,22604
XBIT,2836,23297
ZVRA,2834,23339
CDTX,2836,23358
AQSZF,2834,23362
BPMC,2836,23407
REGN,2834,23812
EVH,7372,23818
ATXS,2836,23980
IONS,2836,24040
MCRB,2836,24177
ALKS,2836,24302
PRGO,2834,24782
QCOM,3674,24800
GILD,2836,24856
GOVX,2836,24966
KOPN,3674,25166
OLED,3674,25274
MGIC,7372,25367
RHHBY,2834,25648
KURA,2836,26081
RGNX,2836,26146
AVTX,2834,26149
HPE,3571,26156
ANAB,2836,26162
AKTX,2836,26204
ONC,2836,26376
MRUS,2836,26385
CLSDQ,2834,26798
CRVS,2836,26895
CRRTF,2834,27004
ACIU,2836,27372
PI,3674,27387
PTGX,2836,27670
GRDX,2836,27699
MDGL,2834,27716
ATOM,3674,27737
AMRN,2836,28027
ITHUF,2834,28056
ANIK,2836,28209
ARWR,2836,28806
NSTM,2836,29165
KALV,2836,29251
GPCR,2834,41979
BHC,2834,29955
NKTR,2834,30137
ELDN,2836,31301
PRPH,2834,31418
AZTA,8731,31477
PENG,3674,31494
KALA,2836,32018
CBUS,2836,32193
DARE,2834,32233
GNPX,2836,32254
ACHV,2834,32271
JAGX,2834,32316
MDNAF,2836,32321
ADIL,2834,32395
OPTN,2834,32451
SXTC,2834,32872
BTAI,2836,32941
EVFM,2834,32961
QTTB,2836,33240
UNBX,2836,33317
XRTX,2834,33483
XCUR,2836,33499
DNTH,2836,33500
MGTX,2836,33595
VRCA,2834,33597
