companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority
29816,2024-01-01,1864086,Sassine Ghazi,SYNOPSYS INC,President/CEO,9000-01-01,10,40,Executive Director
16949,2024-06-05,1931869,Doctor Mark Gitin,IPG PHOTONICS CORP,CEO,9000-01-01,10,40,Executive Director
26104,2023-12-11,340014,John Giamatteo,BLACKBERRY LTD (Research In Motion Ltd prior to 07/2013),CEO/Division President,9000-01-01,10,40,Executive Director
27025,2020-08-17,83652,Jure Sola,SANMINA CORP (Sanmina-SCI Corp prior to 11/2012),Chairman/CEO,9000-01-01,10,40,Executive Director
27219,2022-12-01,485800,Rob Davis,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),Chairman/President/CEO,9000-01-01,10,40,Executive Director
27411,2025-10-25,547579,Doctor Dave Mosley,SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021),Chair/CEO,9000-01-01,10,40,Executive Director
27977,2022-01-02,2032686,Matt Johnson,SILICON LABORATORIES INC,President/CEO,9000-01-01,10,40,Executive Director
29774,2025-07-18,1096288,Vincent Pilette,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),Chairman/President/CEO,9000-01-01,10,40,Executive Director
29924,2011-01-01,333171,Strauss Zelnick,TAKE TWO INTERACTIVE SOFTWARE INC,Chairman (Executive)/CEO,9000-01-01,10,40,Executive Director
30123,2024-02-01,2008711,Kim Kelderman,BIO-TECHNE CORP (Techne Corp prior to 11/2014),President/CEO,9000-01-01,10,40,Executive Director
31454,2025-09-02,1345036,Doctor Edwin Roks,TTM TECHNOLOGIES INC,President/CEO,9000-01-01,10,40,Executive Director
32166,2016-06-26,330136,Doctor Martine Rothblatt,UNITED THERAPEUTICS CORP,Chairman/CEO,9000-01-01,10,40,Executive Director
32537,2020-04-01,1890670,Doctor Reshma Kewalramani,VERTEX PHARMACEUTICALS INC,President/CEO,9000-01-01,10,40,Executive Director
33382,2025-02-24,1621922,Irving Tan,WESTERN DIGITAL CORP,CEO,9000-01-01,10,40,Executive Director
69444,2023-01-31,375926,Marc Benioff,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),Chairman/CEO,9000-01-01,10,40,Executive Director
105052,2024-09-23,2347499,Catherine Owen Adams,ACADIA PHARMACEUTICALS INC,CEO,9000-01-01,10,40,Executive Director
117536,2022-01-01,657842,Doctor Yvonne Greenstreet,ALNYLAM PHARMACEUTICALS INC,CEO,9000-01-01,10,40,Executive Director
440155,2022-11-14,1026,Chris Viehbacher,BIOGEN INC (Biogen Idec Inc prior to 03/2015),President/CEO,9000-01-01,10,40,Executive Director
462108,2025-05-21,2204699,Rahul Patel,SYNAPTICS INC,President/CEO,9000-01-01,10,40,Executive Director
488272,2025-09-02,3082984,James Xiao,ULTRA CLEAN HOLDINGS INC,CEO,9000-01-01,10,40,Executive Director
488479,2025-08-11,1301965,Renee Gala,JAZZ PHARMACEUTICALS PLC,President/CEO,9000-01-01,10,40,Executive Director
550958,2024-02-21,206108,Joe Papa Jr,EMERGENT BIOSOLUTIONS INC,President/CEO,9000-01-01,10,40,Executive Director
580845,2010-01-01,447596,Michael Hsing,MONOLITHIC POWER SYSTEMS INC,Chairman/President/CEO,9000-01-01,30,40,Executive Director
600759,2017-05-01,1094011,Ron Lombardi,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),Chairman/President/CEO,9000-01-01,20,40,Executive Director
25954,2023-06-09,201093,Doctor Len Schleifer,REGENERON PHARMACEUTICALS INC,Co-Chair/President/CEO,9000-01-01,10,40,Executive Director
25529,2021-06-30,1284093,Cristiano Amon,QUALCOMM INC,President/CEO,9000-01-01,10,40,Executive Director
24637,2024-01-01,549027,Todd Kelsey,PLEXUS CORP,President/CEO,9000-01-01,30,40,Executive Director
17238,2024-09-03,540451,Mike Dastoor,JABIL INC (Jabil Circuit Inc prior to 06/2017),CEO,9000-01-01,10,40,Executive Director
17478,2023-01-01,879247,Joaquin Duato,JOHNSON & JOHNSON,Chairman/CEO,9000-01-01,20,40,Executive Director
18888,2017-06-01,1068880,Dave Ricks,ELI LILLY & CO,Chair/CEO,9000-01-01,10,40,Executive Director
19750,2025-07-15,761557,Matt Murphy,MARVELL TECHNOLOGY INC (Marvell Technology Group Ltd prior to 04/2021),Chairman/CEO,9000-01-01,10,40,Executive Director
20566,2025-07-02,61502,Steve Sanghi,MICROCHIP TECHNOLOGY INC,Chair/President/CEO,9000-01-01,10,40,Executive Director
20589,2025-01-16,205405,Sanjay Mehrotra,MICRON TECHNOLOGY INC,Chairman/President/CEO,9000-01-01,10,40,Executive Director
20601,2021-06-16,499383,Satya Nadella,MICROSOFT CORP,Chairman/CEO,9000-01-01,10,40,Executive Director
21710,2025-02-04,275263,Jim Kelly,NCR VOYIX CORP (NCR Corp prior to 10/2023),President/CEO,9000-01-01,10,40,Executive Director
24296,2020-01-01,1361005,Doctor Albert Bourla,PFIZER INC,Chairman/CEO,9000-01-01,10,40,Executive Director
21903,2020-07-01,1448606,George Kurian,NETAPP INC (Network Appliance Inc prior to 03/2008),CEO,9000-01-01,10,40,Executive Director
21929,2024-10-11,1313292,Doctor Kyle Gano,NEUROCRINE BIOSCIENCES INC,President/CEO,9000-01-01,10,40,Executive Director
22589,2025-06-20,2107029,John Jacobs,NOVAVAX INC,President/CEO,9000-01-01,10,40,Executive Director
22806,1993-04-01,83377,Jensen Huang,NVIDIA CORP,President/CEO,9000-01-01,20,40,Executive Director
23134,2020-12-07,1269387,Hassane El-Khoury,ON SEMICONDUCTOR CORP,President/CEO,9000-01-01,10,40,Executive Director
