directorid,UG,top20_ug,MBA,top20_mba,PhD,top20_phd,MD,top20_md,Master's,top20_masters
1026,1,0,0,0,0,0,0,0,0,0
8391,1,0,1,1,0,0,0,0,0,0
13520,1,0,0,0,0,0,0,0,0,0
16689,0,0,1,0,0,0,0,0,1,0
31551,1,0,0,0,0,0,0,0,0,0
32603,0,0,0,0,0,0,0,0,0,0
33049,0,0,1,1,0,0,0,0,1,0
33316,1,0,0,0,1,1,0,0,1,1
33491,1,1,0,0,1,1,1,1,1,1
33503,1,1,0,0,0,0,0,0,0,0
33569,1,1,0,0,0,0,0,0,1,1
34345,1,1,1,1,0,0,0,0,0,0
34717,1,0,0,0,1,0,0,0,1,0
34852,1,0,0,0,0,0,0,0,0,0
35469,1,0,0,0,0,0,0,0,0,0
36387,1,0,0,0,0,0,0,0,1,0
36856,1,0,0,0,0,0,0,0,0,0
41606,1,0,0,0,0,0,0,0,1,1
45781,1,1,0,0,0,0,0,0,0,0
46796,1,0,0,0,0,0,0,0,0,0
47456,1,0,1,0,1,1,0,0,0,0
47716,0,0,0,0,0,0,0,0,0,0
47756,1,1,0,0,0,0,0,0,0,0
48076,1,0,1,0,1,0,0,0,0,0
48201,1,0,0,0,1,0,0,0,0,0
49516,1,1,1,1,0,0,0,0,0,0
49801,1,1,1,1,0,0,0,0,0,0
52347,1,0,0,0,0,0,0,0,0,0
56076,1,0,1,0,0,0,0,0,0,0
56477,1,1,0,0,0,0,0,0,1,1
59002,1,0,1,0,0,0,0,0,0,0
61502,1,0,0,0,0,0,0,0,1,0
61667,1,0,1,0,0,0,0,0,0,0
61782,1,0,0,0,0,0,0,0,0,0
63117,1,0,0,0,0,0,0,0,0,0
64702,0,0,0,0,1,0,0,0,1,0
64712,1,0,0,0,1,0,0,0,1,0
69696,0,0,0,0,0,0,0,0,0,0
70477,1,0,0,0,0,0,0,0,1,1
81732,1,0,1,0,1,0,0,0,0,0
82157,1,0,1,0,0,0,0,0,0,0
83377,1,0,0,0,0,0,0,0,1,1
83652,1,0,0,0,0,0,0,0,0,0
84112,1,1,1,0,0,0,0,0,0,0
86007,1,0,0,0,0,0,0,0,0,0
90127,1,0,0,0,0,0,0,0,0,0
92037,1,0,0,0,1,0,0,0,1,0
102722,1,1,1,1,0,0,0,0,1,1
103257,1,1,1,1,0,0,0,0,0,0
104962,1,1,0,0,0,0,0,0,0,0
106062,1,0,1,1,0,0,0,0,0,0
141731,1,1,0,0,0,0,0,0,1,1
142122,1,0,0,0,0,0,0,0,1,1
180412,1,1,0,0,1,1,0,0,1,1
181113,1,0,0,0,0,0,0,0,0,0
181370,1,1,0,0,0,0,1,1,0,0
182058,1,0,0,0,0,0,0,0,1,0
182411,1,0,1,0,0,0,0,0,1,1
183256,1,1,1,1,0,0,0,0,0,0
183266,1,0,1,1,0,0,0,0,0,0
183402,1,1,0,0,0,0,0,0,0,0
200418,1,0,0,0,0,0,0,0,1,0
200556,1,0,0,0,0,0,0,0,1,0
201093,0,0,0,0,1,0,1,0,0,0
201483,1,0,0,0,0,0,0,0,0,0
201622,1,0,1,1,0,0,0,0,0,0
201626,1,1,1,1,0,0,0,0,0,0
202425,1,0,1,0,0,0,0,0,1,0
202679,1,1,1,1,0,0,0,0,0,0
204362,1,0,1,1,0,0,0,0,0,0
204563,1,1,0,0,1,1,0,0,1,1
204874,1,0,1,0,0,0,0,0,1,0
205003,1,0,0,0,0,0,0,0,0,0
205153,1,0,1,0,0,0,0,0,0,0
205183,1,0,0,0,0,0,0,0,0,0
205267,1,1,1,1,0,0,0,0,0,0
205405,1,1,0,0,0,0,0,0,1,1
206108,1,0,1,1,1,0,0,0,0,0
206474,1,0,1,1,0,0,0,0,0,0
206587,0,0,1,1,1,1,0,0,0,0
270780,1,0,1,0,0,0,0,0,0,0
271741,1,0,0,0,0,0,0,0,0,0
272786,1,1,0,0,1,0,0,0,0,0
272802,1,0,0,0,1,1,0,0,0,0
275263,0,0,0,0,0,0,0,0,0,0
275794,1,1,0,0,0,0,0,0,1,1
320726,1,0,0,0,1,0,1,0,0,0
321651,1,1,1,1,0,0,0,0,0,0
321685,1,0,0,0,0,0,0,0,0,0
324013,1,0,1,1,0,0,0,0,0,0
325964,1,0,0,0,0,0,0,0,0,0
327057,1,0,0,0,1,1,0,0,1,1
327474,1,0,1,0,0,0,0,0,0,0
327486,1,0,1,0,0,0,0,0,0,0
329839,1,0,0,0,0,0,0,0,0,0
330136,1,0,1,1,1,0,0,0,0,0
330139,1,1,0,0,1,0,0,0,0,0
330400,1,0,1,0,0,0,0,0,0,0
332327,1,0,0,0,0,0,0,0,0,0
332806,1,0,0,0,0,0,0,0,0,0
333171,1,0,1,1,0,0,0,0,0,0
333755,1,1,1,1,0,0,0,0,0,0
334096,0,0,1,0,0,0,0,0,0,0
339239,1,0,0,0,0,0,0,0,1,1
339339,1,0,0,0,0,0,0,0,0,0
339859,1,0,0,0,0,0,0,0,0,0
340014,1,0,1,0,0,0,0,0,0,0
340655,1,1,0,0,0,0,0,0,0,0
345845,1,0,0,0,0,0,0,0,0,0
346826,1,0,0,0,0,0,0,0,1,0
347211,1,0,1,0,1,0,0,0,0,0
350055,1,0,0,0,0,0,0,0,1,0
375436,1,0,1,0,0,0,0,0,0,0
375926,1,0,0,0,0,0,0,0,0,0
376149,1,1,0,0,0,0,0,0,0,0
376225,1,0,0,0,0,0,0,0,1,0
376561,1,0,0,0,0,0,0,0,0,0
377031,1,0,1,0,0,0,0,0,0,0
443474,1,0,0,0,0,0,0,0,0,0
444827,1,0,1,0,0,0,0,0,0,0
447596,1,0,0,0,0,0,0,0,0,0
453077,1,1,0,0,1,1,0,0,1,1
456223,0,0,0,0,0,0,0,0,0,0
480400,1,1,0,0,0,0,0,0,1,1
485621,1,0,0,0,0,0,0,0,0,0
485800,1,0,1,1,0,0,0,0,0,0
486395,1,0,0,0,0,0,0,0,1,1
486806,1,0,0,0,0,0,0,0,0,0
486930,1,0,0,0,0,0,0,0,1,0
488928,1,0,1,0,0,0,0,0,0,0
495149,1,0,1,0,0,0,0,0,0,0
496482,1,0,0,0,0,0,1,0,0,0
497854,1,0,0,0,0,0,0,0,0,0
498587,1,0,0,0,1,0,0,0,1,0
499383,1,0,1,1,0,0,0,0,1,0
499843,1,1,1,0,0,0,0,0,0,0
507530,0,0,1,1,0,0,0,0,1,0
507661,1,0,1,1,0,0,0,0,0,0
508234,1,0,1,0,0,0,0,0,0,0
510070,1,0,1,0,0,0,0,0,0,0
510212,1,0,0,0,0,0,0,0,1,0
513708,1,0,0,0,0,0,0,0,0,0
514584,1,0,0,0,0,0,1,1,0,0
516742,1,0,0,0,0,0,0,0,1,0
534543,1,0,1,1,0,0,0,0,0,0
535295,1,0,0,0,0,0,0,0,1,0
536199,1,0,1,1,0,0,0,0,0,0
536593,1,1,0,0,0,0,0,0,1,1
540099,1,0,1,1,0,0,0,0,0,0
540451,1,0,0,0,0,0,0,0,0,0
540927,1,0,0,0,0,0,0,0,1,0
541897,1,0,0,0,0,0,0,0,0,0
542142,1,1,0,0,1,1,0,0,1,1
544257,1,0,0,0,0,0,0,0,0,0
544533,1,0,0,0,0,0,0,0,0,0
545851,1,0,0,0,1,1,0,0,1,1
547579,0,0,0,0,1,0,0,0,0,0
549027,1,0,1,0,0,0,0,0,1,0
550037,1,0,0,0,1,1,0,0,1,1
552034,0,0,0,0,0,0,0,0,0,0
552050,0,0,0,0,1,0,0,0,1,0
552052,0,0,0,0,1,0,0,0,1,0
556870,1,0,1,1,0,0,0,0,0,0
593280,1,1,0,0,0,0,0,0,0,0
601215,1,0,1,0,0,0,0,0,0,0
640531,1,0,0,0,0,0,0,0,1,0
647302,1,1,0,0,0,0,0,0,0,0
647592,1,0,0,0,1,0,0,0,0,0
650660,0,0,0,0,0,0,0,0,0,0
657839,1,0,1,1,0,0,0,0,0,0
657842,0,0,1,0,0,0,0,0,1,0
731568,1,0,1,0,0,0,0,0,0,0
732483,1,0,0,0,1,0,0,0,1,0
