ticker,boardname,boardid
ATVI,ACTIVISION BLIZZARD INC (De-listed 10/2023),725
AEIS,ADVANCED ENERGY INDUSTRIES INC,864
AMD,ADVANCED MICRO DEVICES INC (AMD),881
AKRXQ,AKORN INC (De-listed 06/2020),1228
ALXN,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),1355
ALKS,ALKERMES PLC (Alkermes Inc prior to 09/2011),1391
AGN,ALLERGAN INC (De-listed 03/2015),1426
SWKS,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),1573
AMGN,AMGEN INC,2068
AMKR,AMKOR TECHNOLOGY INC,2079
ADI,ANALOG DEVICES INC,2145
ANSS,ANSYS INC (De-listed 07/2025),2257
ATML,ATMEL CORP (De-listed 04/2016),2960
SRPT,SAREPTA THERAPEUTICS INC (AVI BioPharma Inc prior to 07/2012),3218
BHE,BENCHMARK ELECTRONICS INC,4002
BMRN,BIOMARIN PHARMACEUTICAL INC,4354
BHC,BAUSCH HEALTH COMPANIES INC (Valeant Pharmaceuticals International Inc prior to 07/2018),4427
BMY,BRISTOL-MYERS SQUIBB CO,5118
CDNS,CADENCE DESIGN SYSTEMS INC,5480
CLS,CELESTICA INC,6175
CELG,CELGENE CORP (De-listed 11/2019),6177
CRL,CHARLES RIVER LABORATORIES INTERNATIONAL INC,6495
CRUS,CIRRUS LOGIC INC,6905
CTXS,CITRIX SYSTEMS INC (De-listed 09/2022),6959
WOLF,WOLFSPEED INC (Cree Inc prior to 10/2021),8220
WOLF,WOLFSPEED INC (Cree Inc prior to 10/2021),8220
CY,CYPRESS SEMICONDUCTOR CORP (De-listed 04/2020),8542
DELL,DELL INC (Dell Computer Corp prior to 07/2003) (De-listed 10/2013),8931
DIOD,DIODES INC,9322
EA,ELECTRONIC ARTS INC,10364
EXAS,EXACT SCIENCES CORP (De-listed 03/2026),11340
EXEL,EXELIXIS INC,11375
FCS,FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC (De-listed 09/2016),11505
FLEX,FLEX LTD (Flextronics International Ltd prior to 09/2016),12102
GILD,GILEAD SCIENCES INC,13273
INCY,INCYTE CORP (Incyte Genomics prior to 03/2003),15783
NKTR,NEKTAR THERAPEUTICS (Inhale Therapeutic Systems prior to 01/2003),16049
NKTR,NEKTAR THERAPEUTICS (Inhale Therapeutic Systems prior to 01/2003),16049
INTC,INTEL CORP,16239
INTU,INTUIT INC,16626
IPGP,IPG PHOTONICS CORP,16949
IONS,IONIS PHARMACEUTICALS INC (Isis Pharmaceuticals Inc prior to 12/2015),17053
JBL,JABIL INC (Jabil Circuit Inc prior to 06/2017),17238
JNJ,JOHNSON & JOHNSON,17478
LLY,ELI LILLY & CO,18888
LLTC,LINEAR TECHNOLOGY CORP (De-listed 03/2017),18926
MRVL,MARVELL TECHNOLOGY INC (Marvell Technology Group Ltd prior to 04/2021),19750
MXIM,MAXIM INTEGRATED PRODUCTS INC (De-listed 08/2021),19863
MCHP,MICROCHIP TECHNOLOGY INC,20566
MU,MICRON TECHNOLOGY INC,20589
MSCC,MICROSEMI CORP (De-listed 05/2018),20600
MSFT,MICROSOFT CORP,20601
MRNA,MARINA BIOTECH INC (MDRNA Inc prior to 07/2010) (De-listed 02/2012),21519
MRNA,MARINA BIOTECH INC (MDRNA Inc prior to 07/2010) (De-listed 02/2012),21519
NATI,NATIONAL INSTRUMENTS CORP (De-listed 10/2023),21606
VYX,NCR VOYIX CORP (NCR Corp prior to 10/2023),21710
NTAP,NETAPP INC (Network Appliance Inc prior to 03/2008),21903
NBIX,NEUROCRINE BIOSCIENCES INC,21929
NVAX,NOVAVAX INC,22589
NVDA,NVIDIA CORP,22806
OVTI,OMNIVISION TECHNOLOGIES INC (De-listed 01/2016),23124
ON,ON SEMICONDUCTOR CORP,23134
ONC,ONCOLYTICS BIOTECH INC,23141
ORCL,ORACLE CORP,23295
PTC,PTC INC (Parametric Technology Corp prior to 01/2013),23786
PRXL,PAREXEL INTERNATIONAL CORP (De-listed 09/2017),23799
PEGA,PEGASYSTEMS INC,24040
PRGO,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),24205
PFE,PFIZER INC,24296
PLXS,PLEXUS CORP,24637
PPD,PRE-PAID LEGAL SERVICES INC (De-listed 06/2011),24909
QCOM,QUALCOMM INC,25529
Q,QWEST COMMUNICATIONS INTERNATIONAL INC (De-listed 04/2011),25629
RHT,RED HAT INC (De-listed 07/2019),25895
REGN,REGENERON PHARMACEUTICALS INC,25954
GEN,GENON ENERGY INC (RRI Energy Inc prior to 11/2010) (De-listed 12/2012),26011
BB,BLACKBERRY LTD (Research In Motion Ltd prior to 07/2013),26104
SNDK,SANDISK CORP (De-listed 05/2016),26992
SANM,SANMINA CORP (Sanmina-SCI Corp prior to 11/2012),27025
SAP,SAPUTO INC,27081
NUAN,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),27190
MRK,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),27219
STX,SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021),27411
SGEN,SEAGEN INC (Seattle Genetics Inc prior to 10/2020) (De-listed 12/2023),27435
SGEN,SEAGEN INC (Seattle Genetics Inc prior to 10/2020) (De-listed 12/2023),27435
SLAB,SILICON LABORATORIES INC,27977
GEN,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),29774
SNPS,SYNOPSYS INC,29816
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,29924
TECH,BIO-TECHNE CORP (Techne Corp prior to 11/2014),30123
TXN,TEXAS INSTRUMENTS INC,30509
TTMI,TTM TECHNOLOGIES INC,31454
UTHR,UNITED THERAPEUTICS CORP,32166
VRTX,VERTEX PHARMACEUTICALS INC,32537
WDC,WESTERN DIGITAL CORP,33382
XLNX,XILINX INC (De-listed 02/2022),33857
RPRX,REPROS THERAPEUTICS INC (Zonagen prior to 05/2006) (De-listed 01/2018),34156
CRM,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),69444
ACAD,ACADIA PHARMACEUTICALS INC,105052
ALNY,ALNYLAM PHARMACEUTICALS INC,117536
BIIB,BIOGEN INC (Biogen Idec Inc prior to 03/2015),440155
SYNA,SYNAPTICS INC,462108
FIG,FORTRESS INVESTMENT GROUP LLC (De-listed 12/2017),484488
UCTT,ULTRA CLEAN HOLDINGS INC,488272
JAZZ,JAZZ PHARMACEUTICALS PLC,488479
EBS,EMERGENT BIOSOLUTIONS INC,550958
MPWR,MONOLITHIC POWER SYSTEMS INC,580845
STM,STRATHMORE MINERALS CORP (Strathmore Resources Ltd prior to 09/2000) (De-listed 09/2013),597955
WOLF,GREAT WOLF RESORTS INC (De-listed 05/2012),599873
PBH,PRESTIGE CONSUMER HEALTHCARE INC (Prestige Brands Holdings (PBH) Inc prior to 08/2018),600759
U,URANIUM PARTICIPATION CORP (De-listed 07/2021),745013
SLAB,SPACELABS HEALTHCARE INC (De-listed 01/2008),756809
AVGO,BROADCOM INC (Broadcom Ltd prior to 04/2018),817439
HALO,HALOZYME THERAPEUTICS INC,852951
FSLR,FIRST SOLAR INC,897123
CSIQ,CANADIAN SOLAR INC,947629
SLH,SOLERA HOLDINGS INC (De-listed 03/2016),956561
AMRX,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),1560214
OGN,OROGEN ROYALTIES INC (Evrim Resources Corp prior to 08/2020),1562505
P,PRIMERO MINING CORP (Mala Noche Resources Corp prior to 08/2010) (De-listed 05/2018),1569335
FTNT,FORTINET INC,1606380
MXL,MAXLINEAR INC,1635432
AZPN,ASPEN TECHNOLOGY INC (De-listed 03/2025),1649258
NXPI,NXP SEMICONDUCTORS NV,1656513
PATH,NUPATHE INC (De-listed 02/2014),1656521
TSM,TASMAN METALS LTD (De-listed 08/2016),1656815
PBH,PREMIUM BRANDS HOLDINGS CORP (Premium Brands Income Fund prior to 07/2009),1692432
P,PANDORA MEDIA INC (De-listed 02/2019),1706477
ZNGA,ZYNGA INC (De-listed 05/2022),1743287
GWRE,GUIDEWIRE SOFTWARE INC,1792728
ENPH,ENPHASE ENERGY INC,1810090
SPLK,SPLUNK INC (De-listed 03/2024),1813585
