costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,conm,tic,fyear,at,ceq,dltt,lse,ni,revt,xrd,csho,prcc_f,sich
A,USD,STD,INDL,C,3674,12/31/15,001161,ADVANCED MICRO DEVICES,AMD,2015,3109,-412,2032,3109,-660,3991,947,792,2.87,3674
A,USD,STD,INDL,C,3674,12/31/16,001161,ADVANCED MICRO DEVICES,AMD,2016,3321,416,1435,3321,-497,4272,1008,935,11.34,3674
A,USD,STD,INDL,C,3674,12/31/17,001161,ADVANCED MICRO DEVICES,AMD,2017,3540,611,1325,3540,43,5329,1160,967,10.28,3674
A,USD,STD,INDL,C,3674,12/31/18,001161,ADVANCED MICRO DEVICES,AMD,2018,4556,1266,1114,4556,337,6475,1434,1005,18.46,3674
A,USD,STD,INDL,C,3674,12/31/19,001161,ADVANCED MICRO DEVICES,AMD,2019,6028,2827,685,6028,341,6731,1547,1170,45.86,3674
A,USD,STD,INDL,C,3674,12/31/20,001161,ADVANCED MICRO DEVICES,AMD,2020,8962,5837,531,8962,2490,9763,1983,1211,91.71,3674
A,USD,STD,INDL,C,3674,12/31/21,001161,ADVANCED MICRO DEVICES,AMD,2021,12419,7497,349,12419,3162,16434,2845,1207,143.9,3674
A,USD,STD,INDL,C,3674,12/31/22,001161,ADVANCED MICRO DEVICES,AMD,2022,67580,54750,2863,67580,1320,23601,5005,1612,64.77,3674
A,USD,STD,INDL,C,3674,12/31/23,001161,ADVANCED MICRO DEVICES,AMD,2023,67885,55892,2252,67885,854,22680,5872,1616,147.41,3674
A,USD,STD,INDL,C,3674,12/31/24,001161,ADVANCED MICRO DEVICES,AMD,2024,69226,57568,2212,69226,1641,25785,6456,1622,120.79,3674
A,USD,STD,INDL,C,3674,12/31/25,001161,ADVANCED MICRO DEVICES,AMD,2025,76926,62999,2973,76926,4335,34639,8091,1630,214.16,3674
A,USD,STD,INDL,C,3674,9/30/15,001327,SKYWORKS SOLUTIONS INC,SWKS,2015,3719.4,3159.2,0,3719.4,798.3,3258.4,303.2,190.3,84.21,3674
A,USD,STD,INDL,C,3674,9/30/16,001327,SKYWORKS SOLUTIONS INC,SWKS,2016,3855.4,3541.4,0,3855.4,995.2,3289,312.4,184.9,76.14,3674
A,USD,STD,INDL,C,3674,9/30/17,001327,SKYWORKS SOLUTIONS INC,SWKS,2017,4573.6,4065.7,0,4573.6,1010.2,3651.4,355.2,183.1,101.9,3674
A,USD,STD,INDL,C,3674,9/30/18,001327,SKYWORKS SOLUTIONS INC,SWKS,2018,4828.9,4097,0,4828.9,918.4,3868,404.5,177.4,90.71,3674
A,USD,STD,INDL,C,3674,9/30/19,001327,SKYWORKS SOLUTIONS INC,SWKS,2019,4839.6,4122.3,0,4839.6,853.6,3376.8,424.1,170.1,79.25,3674
A,USD,STD,INDL,C,3674,9/30/20,001327,SKYWORKS SOLUTIONS INC,SWKS,2020,5106.7,4164.2,150.7,5106.7,814.8,3355.7,473.9,165.6,145.5,3674
A,USD,STD,INDL,C,3674,9/30/21,001327,SKYWORKS SOLUTIONS INC,SWKS,2021,8590.7,5297.1,2380.1,8590.7,1498.3,5109.1,532.3,165.3,164.78,3674
A,USD,STD,INDL,C,3674,9/30/22,001327,SKYWORKS SOLUTIONS INC,SWKS,2022,8873.8,5469,1896.8,8873.8,1275.2,5485.5,617.9,160.2,85.27,3674
A,USD,STD,INDL,C,3674,9/30/23,001327,SKYWORKS SOLUTIONS INC,SWKS,2023,8426.7,6082.7,1181.6,8426.7,982.8,4772.4,606.8,159.5,98.59,3674
A,USD,STD,INDL,C,3674,9/30/24,001327,SKYWORKS SOLUTIONS INC,SWKS,2024,8283.3,6336.7,1180.2,8283.3,596,4178,779.6,159.9,98.77,3674
A,USD,STD,INDL,C,3674,9/30/25,001327,SKYWORKS SOLUTIONS INC,SWKS,2025,7917,5757.1,666.9,7917,477.1,4086.9,785.5,148.7,76.98,3674
I,USD,STD,INDL,C,7372,4/30/15,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2014,134.266,92.926,0,134.266,8.128,102.873,11.088,28.585,9.71,7372
I,USD,STD,INDL,C,7372,4/30/16,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2015,136.724,94.894,0,136.724,10.242,113.889,11.248,28.871,9.14,7372
I,USD,STD,INDL,C,7372,4/30/17,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2016,148.774,103.75,0,148.774,14.621,106.286,11.889,29.626,10.97,7372
I,USD,STD,INDL,C,7372,4/30/18,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2017,162.965,112.584,0,162.965,12.053,112.703,11.877,30.61,12.76,7372
I,USD,STD,INDL,C,7372,4/30/19,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2018,161.31,114.607,0,161.31,6.803,108.706,13.078,31.213,12.95,7372
I,USD,STD,INDL,C,7372,4/30/20,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2019,171.293,119.422,1.424,171.293,6.742,115.466,15.348,32.234,16.48,7372
I,USD,STD,INDL,C,7372,4/30/21,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2020,177.157,122.391,0.821,177.157,8.089,111.408,16.964,32.863,20.69,7372
I,USD,STD,INDL,C,7372,4/30/22,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2021,192.835,132.976,0.461,192.835,12.782,127.553,17.6,33.639,17.1,7372
I,USD,STD,INDL,C,7372,4/30/23,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2022,195.62,139.334,0.065,195.62,10.421,123.659,17.767,34.141,11.94,7372
I,USD,STD,INDL,C,7372,4/30/24,001562,LOGILITY SPPLY CHAIN SOL INC,LGTY,2023,192.444,130.481,0,192.444,11.373,102.515,17.656,33.22,10.11,7372
A,USD,STD,INDL,C,2836,12/31/15,001602,AMGEN INC,AMGN,2015,71576,28083,29306,71576,6939,21662,4070,754,162.33,2836
A,USD,STD,INDL,C,2836,12/31/16,001602,AMGEN INC,AMGN,2016,77626,29875,30193,77626,7722,22991,3840,738.2,146.21,2836
A,USD,STD,INDL,C,2836,12/31/17,001602,AMGEN INC,AMGN,2017,79954,25241,34190,79954,1979,22849,3962,722.2,173.9,2836
A,USD,STD,INDL,C,2836,12/31/18,001602,AMGEN INC,AMGN,2018,66416,12500,29510,66416,8394,23747,4067,629.6,194.67,2836
A,USD,STD,INDL,C,2836,12/31/19,001602,AMGEN INC,AMGN,2019,59707,9673,27338,59707,7842,23362,4116,591.4,241.07,2836
A,USD,STD,INDL,C,2836,12/31/20,001602,AMGEN INC,AMGN,2020,62948,9409,33201,62948,7264,25424,4207,578.3,229.92,2836
A,USD,STD,INDL,C,2836,12/31/21,001602,AMGEN INC,AMGN,2021,61165,6700,33747,61165,5893,25979,6324,558.3,224.97,2836
A,USD,STD,INDL,C,2836,12/31/22,001602,AMGEN INC,AMGN,2022,65121,3661,37893,65121,6552,26323,4434,534,262.64,2836
A,USD,STD,INDL,C,2836,12/31/23,001602,AMGEN INC,AMGN,2023,97154,6232,63861,97154,6717,28190,5567,535.4,288.02,2836
A,USD,STD,INDL,C,2836,12/31/24,001602,AMGEN INC,AMGN,2024,91839,5877,57222,91839,4090,33424,6158,536.9,260.64,2836
A,USD,STD,INDL,C,2836,12/31/25,001602,AMGEN INC,AMGN,2025,90586,8658,50701,90586,7711,36751,7272,538.8,327.31,2836
A,USD,STD,INDL,C,3674,10/31/15,001632,ANALOG DEVICES INC,ADI,2015,7062.178,5072.959,498.497,7062.178,696.878,3435.092,637.459,312.061,60.12,3674
A,USD,STD,INDL,C,3674,10/31/16,001632,ANALOG DEVICES INC,ADI,2016,7970.278,5165.618,1732.177,7970.278,861.664,3421.409,653.816,308.171,64.1,3674
A,USD,STD,INDL,C,3674,10/31/17,001632,ANALOG DEVICES INC,ADI,2017,21141.294,10161.54,7551.084,21141.294,727.259,5107.503,968.602,368.636,91.3,3674
A,USD,STD,INDL,C,3674,10/31/18,001632,ANALOG DEVICES INC,ADI,2018,20449.779,10988.54,6265.674,20449.779,1495.432,6200.942,1165.41,370.16,83.71,3674
A,USD,STD,INDL,C,3674,10/31/19,001632,ANALOG DEVICES INC,ADI,2019,21392.641,11709.188,5192.252,21392.641,1363.011,5991.065,1130.348,368.302,106.63,3674
A,USD,STD,INDL,C,3674,10/31/20,001632,ANALOG DEVICES INC,ADI,2020,21468.603,11997.945,5433.594,21468.603,1220.761,5603.056,1050.519,369.485,118.53,3674
A,USD,STD,INDL,C,3674,10/31/21,001632,ANALOG DEVICES INC,ADI,2021,52322.071,37992.542,6548.994,52322.071,1390.422,7318.286,1296.126,525.331,173.49,3674
A,USD,STD,INDL,C,3674,10/31/22,001632,ANALOG DEVICES INC,ADI,2022,50302.35,36465.323,6885.904,50302.35,2748.561,12013.953,1700.518,509.296,142.62,3674
A,USD,STD,INDL,C,3674,10/31/23,001632,ANALOG DEVICES INC,ADI,2023,48794.478,35565.122,6262.917,48794.478,3314.579,12305.539,1660.194,496.262,157.33,3674
A,USD,STD,INDL,C,3674,10/31/24,001632,ANALOG DEVICES INC,ADI,2024,48228.277,35176.317,6952.883,48228.277,1635.273,9427.157,1487.863,496.297,223.11,3674
A,USD,STD,INDL,C,3674,10/31/25,001632,ANALOG DEVICES INC,ADI,2025,47992.712,33815.755,8428.97,47992.712,2267.342,11019.707,1766.001,489.654,234.13,3674
A,USD,STD,INDL,C,2834,12/31/15,002403,BRISTOL-MYERS SQUIBB CO,BMY,2015,31748,14266,6550,31748,1565,16560,5920,1669,68.79,2834
A,USD,STD,INDL,C,2834,12/31/16,002403,BRISTOL-MYERS SQUIBB CO,BMY,2016,33707,16177,5716,33707,4457,19427,4940,1672,58.44,2834
A,USD,STD,INDL,C,2834,12/31/17,002403,BRISTOL-MYERS SQUIBB CO,BMY,2017,33551,11741,6975,33551,1007,20776,6411,1633,61.28,2834
A,USD,STD,INDL,C,2834,12/31/18,002403,BRISTOL-MYERS SQUIBB CO,BMY,2018,34986,14031,5646,34986,4920,22561,6345,1632,51.98,2834
A,USD,STD,INDL,C,2834,12/31/19,002403,BRISTOL-MYERS SQUIBB CO,BMY,2019,129944,51598,44059,129944,3439,26145,6148,2251,64.19,2834
A,USD,STD,INDL,C,2834,12/31/20,002403,BRISTOL-MYERS SQUIBB CO,BMY,2020,118481,37822,49169,118481,-9015,42518,22581,2244,62.03,2834
A,USD,STD,INDL,C,2834,12/31/21,002403,BRISTOL-MYERS SQUIBB CO,BMY,2021,109314,35946,40479,109314,6994,46385,11354,2176,62.35,2834
A,USD,STD,INDL,C,2834,12/31/22,002403,BRISTOL-MYERS SQUIBB CO,BMY,2022,96820,31061,36317,96820,6327,46159,10324,2098,71.95,2834
A,USD,STD,INDL,C,2834,12/31/23,002403,BRISTOL-MYERS SQUIBB CO,BMY,2023,95159,29430,38183,95159,8025,45006,10212,2021,51.31,2834
