costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,conm,tic,fyear,at,ceq,dltt,lse,ni,revt,xrd,csho,prcc_f,sich,mkt_cap,industry,boardid,companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority,UG,top20_ug,MBA,top20_mba,PhD,top20_phd,MD,top20_md,Master's,top20_masters,dob,gender,diversitynetworklabel,execid,year,salary,bonus,tdc1,stock_awards_fv,cash_comp,pct_equity
A,USD,STD,INDL,C,3674,12/31/15,1161,ADVANCED MICRO DEVICES,AMD,2015,3109.0,-412.0,2032.0,3109.0,-660.0,3991.0,947.0,792.0,2.87,3674.0,2273.04,Semiconductors/Hardware,881.0,881.0,2014-10-08,542142.0,Doctor Lisa Su,ADVANCED MICRO DEVICES INC (AMD),President/CEO,2022-02-14,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1969-11-07,F,,37809.0,2015.0,849.992,300.0,6559.194,3578.932,1149.992,0.545635942464882
I,USD,STD,INDL,C,7372,12/31/21,61676,CITRIX SYSTEMS INC,CTXS,2021,6975.517,547.257,3492.341,6975.517,307.499,3217.17,581.6,124.861,94.59,7372.0,11810.60199,Software,6959.0,6959.0,2021-10-01,52347.0,Bob Calderoni,CITRIX SYSTEMS INC (De-listed 09/2022),Chairman/Interim President/Interim CEO,2022-09-30,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959-06-15,M,,14304.0,2021.0,250.0,500.0,20348.319,19035.805,750.0,0.9354976693652188
A,USD,STD,INDL,C,2836,12/31/21,61655,NOVAVAX INC,NVAX,2021,2576.753,-351.673,362.574,2576.753,-1743.751,1146.29,2534.508,75.841,143.07,2836.0,10850.571869999998,Biotech,22589.0,22589.0,2018-03-14,507661.0,Stan Erck,NOVAVAX INC,President/CEO,2023-01-23,10.0,10.0,Executive Director,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1948-04-01,M,,,,,,,,,
A,USD,STD,INDL,C,2836,12/31/25,61655,NOVAVAX INC,NVAX,2025,1176.512,-127.753,265.663,1176.512,440.302,1123.479,342.32,162.576,6.72,2836.0,1092.51072,Biotech,22589.0,22589.0,2025-06-20,2107029.0,John Jacobs,NOVAVAX INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967-06-15,M,,,,,,,,,
A,USD,STD,INDL,C,3679,12/31/20,61562,ADVANCED ENERGY INDS INC,AEIS,2020,1647.662,814.739,400.539,1647.662,134.675,1415.826,143.961,38.293,96.97,3679.0,3713.27221,Semiconductors/Hardware,864.0,864.0,2020-10-29,544257.0,Yuval Wasserman,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2021-03-01,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954-06-15,M,,32732.0,2020.0,800.0,0.0,5794.389,2931.784,800.0,0.5059694818556365
A,USD,STD,INDL,C,3679,12/31/21,61562,ADVANCED ENERGY INDS INC,AEIS,2021,1817.34,870.851,467.913,1817.34,134.736,1455.954,161.831,37.589,91.06,3829.0,3422.85434,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,36206.0,2021.0,656.571,203.299,6506.02,5147.212,859.87,0.7911460462771402
A,USD,STD,INDL,C,3679,12/31/22,61562,ADVANCED ENERGY INDS INC,AEIS,2022,1992.168,1066.267,447.722,1992.168,199.66,1845.422,191.02,37.429,85.78,3829.0,3210.6596200000004,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,36206.0,2022.0,897.917,0.0,7484.931,4567.414,897.917,0.6102145764603575
A,USD,STD,INDL,C,3679,12/31/23,61562,ADVANCED ENERGY INDS INC,AEIS,2023,2556.757,1144.182,985.009,2556.757,128.284,1655.81,202.439,37.318,108.92,3679.0,4064.67656,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,36206.0,2023.0,947.917,0.0,5225.726,3070.396,947.917,0.5875539590097147
A,USD,STD,INDL,C,3679,12/31/24,61562,ADVANCED ENERGY INDS INC,AEIS,2024,2261.894,1203.171,653.873,2261.894,54.214,1482.042,211.834,37.711,115.63,3679.0,4360.52293,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,36206.0,2024.0,949.999,0.0,8761.961,6693.832,949.999,0.7639650530286543
A,USD,STD,INDL,C,3679,12/31/25,61562,ADVANCED ENERGY INDS INC,AEIS,2025,2545.8,1362.8,95.7,2545.8,148.4,1798.8,232.4,37.8,209.37,3679.0,7914.186,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,36206.0,,,,,,,
