execid,exec_lname,exec_fname,exec_mname,exec_fullname,directorid,directorname,forename1,forename2,forename3,forename4,usualname,surname,suffixtitle,score,matchStyle
281,Dell,MICHAEL,Saul,Michael Saul Dell,32603,Mike Dell,MICHAEL,Saul,,,Mike,Dell,,1,fullname+cusip
2518,Scully,EDWARD,R.,Edward R. Scully,1808923,Edward Kreps,EDWARD,Jay,,,,Kreps,,12,partialname+age
2518,Scully,EDWARD,R.,Edward R. Scully,344491,Ted Kunkel,EDWARD,Thomas,,,Ted,Kunkel,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,44976,Ben Johnson,ROBERT,B,,,Ben,Johnson,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,347148,Robert Johnson,ROBERT,H,,,,Johnson,CPA,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,201065,Bob Johnson,ROBERT,Lee,,,Bob,Johnson,MBA,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,323351,Robert Johnson,ROBERT,T,,,,Johnson,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,327315,Doctor Robert Johnson,ROBERT,W,,,,Johnson,MS MBA DBA,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,341537,Doctor Robert Johnson Jr,ROBERT,G,,,,Johnson Jr,MD PhD,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,330161,Bob Johnson,ROBERT,L,,,Bob,Johnson,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,497854,Rob Johnson,ROBERT,J,,,Rob,Johnson,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,1331866,Bob Johnson,ROBERT,L,,,Bob,Johnson,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,1814248,Bob Shedd,ROBERT,W,,,Bob,Shedd,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,2841996,Robert Turgeon,ROBERT,,,,,Turgeon,,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,621394,Paul Stockton,ROBERT,Paul,,,Paul,Stockton,CA,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,483083,Robert Colquhoun,ROBERT,Henry,,,,Colquhoun,FIDM,12,partialname+age
2930,Johnson,ROBERT,C.,Robert C. Johnson,1768881,Robert Schwob,ROBERT,Jean,,,,Schwob,,12,partialname+age
4834,Brown,MICHAEL,Allen,Michael Allen Brown,49801,Mike Brown,MICHAEL,A,,,Mike,Brown,MBA,1,fullname+cusip
4834,Brown,MICHAEL,Allen,Michael Allen Brown,49801,Mike Brown,,,,,,,,9,existing
5315,"Rodgers, Ph.D.",THURMAN,John,"Thurman John Rodgers, Ph.D.",180412,Doctor TJ Rodgers,THURMAN,John,,,TJ,Rodgers,MS PhD,1,fullname+cusip
5706,Whitman,MARGARET,Cushing,Margaret Cushing Whitman,34345,Meg Whitman,MARGARET,Cushing,,,Meg,Whitman,MBA,1,fullname+cusip
5706,Whitman,MARGARET,Cushing,Margaret Cushing Whitman,34345,Meg Whitman,,,,,,,,9,existing
5910,"Foster, J.D.",JAMES,C.,"James C. Foster, J.D.",142122,Jim Foster,JAMES,Clifford,,,Jim,Foster,,1,fullname+cusip
5910,"Foster, J.D.",JAMES,C.,"James C. Foster, J.D.",142122,Jim Foster,,,,,,,,9,existing
6212,Maier,LOTHAR,,Lothar Maier,45781,Lothar Maier,LOTHAR,,,,,Maier,,1,fullname+cusip
6212,Maier,LOTHAR,,Lothar Maier,45781,Lothar Maier,,,,,,,,9,existing
7634,Sanghi,STEPHEN,,Stephen Sanghi,61502,Steve Sanghi,STEPHEN,,,,Steve,Sanghi,,1,fullname+cusip
8095,Sola,JURE,,Jure Sola,83652,Jure Sola,JURE,,,,,Sola,,1,fullname+cusip
8124,"Laub, J.D.",STEVEN,A.,"Steven A. Laub, J.D.",183402,Steve Laub,STEVEN,A,,,Steve,Laub,,1,fullname+cusip
9349,Chen,JOHN,S.,John S. Chen,141731,John Chen,JOHN,S,,,,Chen,,1,fullname+cusip
9349,Chen,JOHN,S.,John S. Chen,141731,John Chen,,,,,,,,9,existing
9752,"Schleifer, M.D., Ph.",LEONARD,S.,"Leonard S. Schleifer, M.D., Ph.D.",201093,Doctor Len Schleifer,LEONARD,S,,,Len,Schleifer,MD PhD,1,fullname+cusip
10038,Doluca,TUNC,,Tunc Doluca,36387,Tunc Doluca,TUNC,,,,,Doluca,MSEE,1,fullname+cusip
10075,Tan,HOCK,E.,Hock E. Tan,102722,Hock Tan,HOCK,E,,,,Tan,MS MBA,1,fullname+cusip
12812,Cozadd,BRUCE,C.,Bruce C. Cozadd,183256,Bruce Cozadd,BRUCE,C,,,,Cozadd,,3,fullname+ticker
12812,Cozadd,BRUCE,C.,Bruce C. Cozadd,183256,Bruce Cozadd,,,,,,,,9,existing
13950,Luczo,STEPHEN,James,Stephen James Luczo,49516,Dato' Steve Luczo,STEPHEN,J,,,Steve,Luczo,,1,fullname+cusip
13950,Luczo,STEPHEN,James,Stephen James Luczo,49516,Dato' Steve Luczo,STEPHEN,J,,,Steve,Luczo,,3,fullname+ticker
13950,Luczo,STEPHEN,James,Stephen James Luczo,49516,Dato' Steve Luczo,,,,,,,,9,existing
14024,"de Geus, Ph.D.",AART,J.,"Aart J. de Geus, Ph.D.",64702,Doctor Aart De Geus,AART,J,,,,de Geus,MSEE PhD,1,fullname+cusip
14027,"Chan, Ph.D.",CHI-FOON,,"Chi-Foon Chan, Ph.D.",64712,Doctor Chi-Foon Chan,CHI-FOON,,,,,Chan,,1,fullname+cusip
14085,Peterson,JAMES,J.,James J. Peterson,201550,Jimmy Peterson,JAMES,J,,,Jimmy,Peterson,,1,fullname+cusip
14085,Peterson,JAMES,J.,James J. Peterson,201550,Jimmy Peterson,,,,,,,,9,existing
14274,Templeton,RICHARD,K.,Richard K. Templeton,13520,Rich Templeton,RICHARD,K,,,Rich,Templeton,,1,fullname+cusip
14287,von Rickenbach,JOSEF,H.,Josef H. von Rickenbach,324013,Josef Von Rickenbach,JOSEF,H,,,,von Rickenbach,MBA,1,fullname+cusip
14304,"Calderoni, CPA",ROBERT,M.,"Robert M. Calderoni, CPA",52347,Bob Calderoni,ROBERT,M,,,Bob,Calderoni,,1,fullname+cusip
14304,"Calderoni, CPA",ROBERT,M.,"Robert M. Calderoni, CPA",52347,Bob Calderoni,,,,,,,,9,existing
15533,Riccitiello,JOHN,S.,John S. Riccitiello,47756,John Riccitiello,JOHN,S,,,,Riccitiello,,1,fullname+cusip
15587,Clemmer,RICHARD,L.,Richard L. Clemmer,82157,Rick Clemmer,RICHARD,L,,,Rick,Clemmer,,1,fullname+cusip
15587,Clemmer,RICHARD,L.,Richard L. Clemmer,82157,Rick Clemmer,RICHARD,L,,,Rick,Clemmer,,3,fullname+ticker
15587,Clemmer,RICHARD,L.,Richard L. Clemmer,82157,Rick Clemmer,,,,,,,,9,existing
15620,"Truchard, Ph.D.",JAMES,J.,"James J. Truchard, Ph.D.",92037,Doctor Jim Truchard,JAMES,Joseph,,,Jim,Truchard,MS PhD,1,fullname+cusip
17260,Aldrich,DAVID,J.,David J. Aldrich,327474,Dave Aldrich,DAVID,J,,,Dave,Aldrich,,1,fullname+cusip
18070,Foate,DEAN,A.,Dean A. Foate,200556,Dean Foate,DEAN,A,,,,Foate,MS,1,fullname+cusip
