directorid,annualreportdate,boardid,salary,bonus,estvaloptaward,eqlinkremratio,wealthdelta
69696,2018-12-01,725,1757,,28393,0.96,2114
69696,2015-12-01,725,2294,,,0.68,3152
69696,2016-12-01,725,2376,,,0.92,1938
69696,2021-12-01,725,718,,,,3925
69696,2023-10-01,725,,,,,
69696,2022-12-01,725,63,,,,1667
69696,2017-12-01,725,1750,,6663,0.94,647
69696,2019-12-01,725,1757,,40196,0.97,2923
69696,2020-12-01,725,1494,,,0.97,7200
69696,2015-12-01,725,2294,,,0.68,3152
69696,2016-12-01,725,2376,,,0.92,1938
69696,2018-12-01,725,1757,,28393,0.96,2114
69696,2021-12-01,725,718,,,,3925
69696,2020-12-01,725,1494,,,0.97,7200
69696,2017-12-01,725,1750,,6663,0.94,647
69696,2019-12-01,725,1757,,40196,0.97,2923
69696,2022-12-01,725,63,,,,1667
56477,2019-12-01,881,134,,,0.7,18
56477,2017-12-01,881,18,,,0.89,1
56477,2022-12-01,881,114,,,0.55,60
56477,2020-12-01,881,95,,,0.79,39
56477,2021-12-01,881,95,,,0.8,128
56477,2024-12-01,881,148,,,0.57,128
56477,2018-12-01,881,118,,,0.73,6
56477,2023-12-01,881,120,,,0.77,144
332327,2016-12-01,1355,231,,181,0.63,12
332327,2017-12-01,1355,1523,,,0.24,14
332327,2016-12-01,1355,,,,,
332327,2019-12-01,1355,0,,,1,11
332327,2015-12-01,1355,95,,289,0.82,5
332327,2017-12-01,1355,,,,,
332327,2021-07-01,1355,,,,,
332327,2018-12-01,1355,195,,,0.52,5
332327,2016-12-01,1355,231,,181,0.63,12
332327,2017-12-01,1355,,,,,
541897,2015-12-01,1355,1048,,10351,0.96,1106
541897,2016-12-01,1355,,,,,
541897,2016-12-01,1355,,,,,
541897,2015-12-01,1355,1048,,10351,0.96,1106
1077323,2017-12-01,1355,900,,3659,0.96,285
1077323,2018-12-01,1355,1200,,,0.91,275
1077323,2019-12-01,1355,1250,,,0.92,413
1077323,2021-07-01,1355,,,,,
1077323,2017-12-01,1355,900,,3659,0.96,285
1077323,2018-12-01,1355,1200,,,0.91,275
1077323,2019-12-01,1355,1250,,,0.92,413
879247,2019-12-01,1970,17,,,0.68,3
879247,2021-12-01,1970,130,,,0.57,
879247,2022-12-01,1970,,,,,
879247,2020-12-01,1970,122,,,0.6,3
56477,2018-09-01,2043,100,,,0.55,5
56477,2021-09-01,2043,20,,,0.94,19
56477,2017-09-01,2043,100,,,0.53,3
56477,2022-09-01,2043,0,,,1,23
56477,2023-09-01,2043,130,,,0.66,34
56477,2024-09-01,2043,125,,,0.65,52
56477,2020-09-01,2043,0,,,1,7
56477,2025-09-01,2043,125,,,0.71,71
56477,2016-09-01,2043,106,,,,1
56477,2015-09-01,2043,6,,,,1
56477,2019-09-01,2043,100,,,0.63,6
534543,2020-12-01,2068,1648,,12289,0.94,3120
534543,2021-12-01,2068,1674,,11733,0.94,3117
534543,2019-12-01,2068,1601,,20084,0.97,3339
534543,2018-12-01,2068,1566,,11677,0.95,2294
534543,2022-12-01,2068,1722,0,16583,0.96,4119
534543,2017-12-01,2068,1556,,11387,0.94,1774
534543,2015-12-01,2068,1506,,,0.92,1575
534543,2023-12-01,2068,1787,0,19094,0.96,6989
534543,2016-12-01,2068,1532,,8856,0.94,1142
534543,2024-12-01,2068,1869,0,9322,0.93,6483
534543,2015-12-01,2068,1506,,,0.92,1575
534543,2017-12-01,2068,1556,,11387,0.94,1774
534543,2019-12-01,2068,1601,,20084,0.97,3339
534543,2021-12-01,2068,1674,,11733,0.94,3117
534543,2023-12-01,2068,1787,0,19094,0.96,6989
534543,2018-12-01,2068,1566,,11677,0.95,2294
534543,2022-12-01,2068,1722,0,16583,0.96,4119
534543,2016-12-01,2068,1532,,8856,0.94,1142
534543,2020-12-01,2068,1648,,12289,0.94,3120
534543,2024-12-01,2068,1869,0,9322,0.93,6483
35469,2018-11-01,2145,985,,4800,0.94,524
35469,2016-10-01,2145,828,,4494,0.92,606
35469,2023-10-01,2145,1129,,,0.95,1878
35469,2025-11-01,2145,1200,,,0.97,2465
35469,2020-10-01,2145,1050,,9661,0.96,1015
35469,2019-11-01,2145,1031,,6108,0.93,669
35469,2022-10-01,2145,1075,,,0.94,1739
