execid,year,gvkey,exec_fullname,co_per_rol,bonus,eip_unearn_val,option_awards_blk_value,opt_unex_exer_est_val,opt_unex_unexer_est_val,salary,shrown_excl_opts,stock_awards_fv,tdc1
10038,2015,014256,Tunc Doluca,9279,160,4378.5,,4996.939,3255.707,590,1316.763,4285.25,5891.095
10038,2016,014256,Tunc Doluca,9279,0,4313.632,,7543.165,1981.034,600,1408.853,2778.574,4854.605
10038,2017,014256,Tunc Doluca,9279,0,8546.814,,7857.715,1422.9,660,1467.159,3772.23,6584.119
10038,2018,014256,Tunc Doluca,9279,0,0,,5185,0,700,1266.496,4919.967,8085.05
10038,2019,014256,Tunc Doluca,9279,0,0,,5382.2,0,800,1515.373,7004.785,9143.785
10038,2020,014256,Tunc Doluca,9279,0,14514.656,,0,0,825,1424.937,5232.479,7330.479
10038,2021,014256,Tunc Doluca,9279,0,18682.067,,0,0,825,1219.916,5656.888,8559.888
10075,2015,180711,Hock E. Tan,49437,0,0,,119132.071,120939.5,910.461,99.563,0,4025.768
10075,2016,180711,Hock E. Tan,49437,0,20574.408,,229273.392,107449.438,1011.662,109.616,21656.268,24692.047
10075,2017,180711,Hock E. Tan,49437,0,0,,503921.992,39611.25,1100,105.327,99344.543,104232.863
10075,2018,180711,Hock E. Tan,49437,0,90074.16,,374975.502,0,1121.154,109.088,0,5042.937
10075,2019,180711,Hock E. Tan,49437,0,0,,492186.081,0,1100,224.605,0,2366.888
10075,2020,180711,Hock E. Tan,49437,0,210883.53,,92806.25,0,1171.154,217.832,0,3695.852
10075,2021,180711,Hock E. Tan,49437,0,95381.598,,0,0,1200,250.677,54056.808,60703.627
10075,2022,180711,Hock E. Tan,49437,0,163646.099,,0,0,1200,260.514,53913.448,60606.971
10075,2023,180711,Hock E. Tan,49437,0,0,,0,0,1200,209.796,160540,161826.161
10075,2024,180711,Hock E. Tan,49437,0,1689200,,0,0,1226.374,1844.746,0,2634.542
10075,2025,180711,Hock E. Tan,49437,0,3921966.877,,0,0,1200,978.474,202351.08,205278.006
12812,2015,177287,Bruce C. Cozadd,64982,0,0,,12758.297,4397.543,869.616,206.877,4870.279,10677.462
12812,2016,177287,Bruce C. Cozadd,64982,0,0,,10863.721,297.005,917.308,230.403,3824.157,8770.972
12812,2017,177287,Bruce C. Cozadd,64982,0,0,,16032.113,0,950.385,209.142,4711.828,10304.61
12812,2018,177287,Bruce C. Cozadd,64982,0,0,,14032.453,13.563,979.285,209.915,5204.786,11443.133
12812,2019,177287,Bruce C. Cozadd,64982,0,0,,21866.4,2042.086,1014.415,223.383,7001.495,14713.637
12812,2020,177287,Bruce C. Cozadd,64982,0,0,,29309.452,9308.432,1085.123,213.666,5881.195,12573.3
12812,2021,177287,Bruce C. Cozadd,64982,0,4632.901,,12461.208,1006.963,1077.254,235.403,13414.116,15679.311
12812,2022,177287,Bruce C. Cozadd,64982,0,20063.661,,13075.796,1852.574,1199.169,279.643,14873.643,17325.618
12812,2023,177287,Bruce C. Cozadd,64982,0,13832.826,,1760.548,88.777,1196.621,315.956,16973.947,19418.637
12812,2024,177287,Bruce C. Cozadd,64982,0,17581.14,,1875.05,0,1203.514,340.962,5964.72,8692.497
13950,2015,150937,Stephen James Luczo,26698,0,25204.6,,2149.837,4529.23,1200.056,1426.969,7555.14,11647.291
13950,2016,150937,Stephen James Luczo,26698,0,7098.247,,457.016,0,1246.212,1839.935,7339.381,10420.844
13950,2017,150937,Stephen James Luczo,26698,0,9595.818,,3628.671,0,1200.056,1309.578,0,3136.738
13950,2018,150937,Stephen James Luczo,26698,0,8005.3,,851.28,386.946,853.864,1449.317,5659.958,7842.811
13950,2019,150937,Stephen James Luczo,26698,0,0,,0,0,265.387,1068.148,0,381.733
14024,2015,024975,"Aart J. de Geus, Ph.D.",13604,0,1472.461,,11859.388,3241.14,500,712.063,1250.03,4919.139
14024,2016,024975,"Aart J. de Geus, Ph.D.",13604,0,2258.394,,14392.142,5048.718,500,615.143,1749.994,5715.052
14024,2017,024975,"Aart J. de Geus, Ph.D.",13604,0,0,,0,0,525,560.51,1849.978,6652.152
14024,2018,024975,"Aart J. de Geus, Ph.D.",13604,0,2226.372,,24351.217,5725.329,535.1,508.021,2249.988,7432.836
14024,2019,024975,"Aart J. de Geus, Ph.D.",13604,0,6739.672,,42363.951,12735.902,540,503.234,5562.554,9627.625
14024,2020,024975,"Aart J. de Geus, Ph.D.",13604,0,6241.13,,70616.824,19327.118,540,479.789,2300.041,6768.566
14024,2021,024975,"Aart J. de Geus, Ph.D.",13604,0,6481.684,,95341.607,20946.851,540,404.27,5250.326,9974.985
14024,2022,024975,"Aart J. de Geus, Ph.D.",13604,0,3600.077,,53089.077,5932.663,540,417.66,5167.367,10058.496
14024,2023,024975,"Aart J. de Geus, Ph.D.",13604,0,0,,68658.221,7277.63,678.75,429.068,7540.58,12681.076
14024,2024,024975,"Aart J. de Geus, Ph.D.",13604,0,15083.884,,45659.792,3501.569,725,439.937,6234.467,8963.36
14024,2025,024975,"Aart J. de Geus, Ph.D.",13604,0,2059.889,,33074.978,900.656,359.615,442.258,3580.688,5184.942
14027,2015,024975,"Chi-Foon Chan, Ph.D.",13607,0,1472.461,,1701.887,3157.402,500,199.738,1250.03,4917.215
14027,2016,024975,"Chi-Foon Chan, Ph.D.",13607,0,2258.394,,5076.851,5048.718,500,211.486,1749.994,5713.128
14027,2017,024975,"Chi-Foon Chan, Ph.D.",13607,0,0,,788.919,3418.589,525,212.853,1849.978,6652.152
14027,2018,024975,"Chi-Foon Chan, Ph.D.",13607,0,2226.372,,21231.896,5725.329,535.1,214.218,2249.988,7433.124
14027,2019,024975,"Chi-Foon Chan, Ph.D.",13607,0,6739.672,,45985.437,12735.902,540,209.322,5562.554,9628.307
14027,2020,024975,"Chi-Foon Chan, Ph.D.",13607,0,6241.13,,39081.833,19327.118,540,190.162,2300.041,6769.666
14027,2021,024975,"Chi-Foon Chan, Ph.D.",13607,0,6481.684,,25788.281,20946.851,540,167.653,5250.326,9976.485
14027,2022,024975,"Chi-Foon Chan, Ph.D.",13607,0,0,,0,0,336.462,155.12,0,359.853
14085,2015,007346,James J. Peterson,22558,0,3717.82,,0,0,735,192.748,5837.575,7421.663
14085,2016,007346,James J. Peterson,22558,0,64737.4,,0,0,805,262.511,27107.28,27958.781
14085,2017,007346,James J. Peterson,22558,0,48912.795,,0,0,805,213.498,864.32,3546.776
14274,2015,010499,Richard K. Templeton,13869,0,0,,74862.868,13738.509,1140.25,1151.608,4900.017,14911.852
14274,2016,010499,Richard K. Templeton,13869,0,0,,90476.323,31156.797,1164.083,376.679,4900.048,14972.465
14274,2017,010499,Richard K. Templeton,13869,0,0,,0,8400.426,1188.004,858.458,5500.01,16380.444
14274,2018,010499,Richard K. Templeton,13869,0,0,,119447.292,19225.396,1131.252,829.955,6000.091,17576.224
14274,2019,010499,Richard K. Templeton,13869,3550,0,,176296.327,27953.186,1295.833,696.467,6500.045,18431.219
14274,2020,010499,Richard K. Templeton,13869,3745,0,,216300.824,35793.409,1336.667,570.506,6500.027,18857.221
14274,2021,010499,Richard K. Templeton,13869,4125,0,,203509.981,31564.371,1376.667,459.38,6500.124,19195.411
