costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,conm,tic,fyear,at,ceq,dltt,lse,ni,revt,xrd,csho,prcc_f,sich,mkt_cap,industry,boardid,companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority,UG,top20_ug,MBA,top20_mba,PhD,top20_phd,MD,top20_md,Master's,top20_masters,dob,gender,diversitynetworklabel,re,volatility,roa,adjusted_roa,firm_size,equity_capital,charter_value,retained_earnings,rd_intensity,ceo_age,ceo_gender,masters_factor,md_factor,phd_factor,mba_factor,ug_factor
A,USD,STD,INDL,C,3674,12/31/15,1161,ADVANCED MICRO DEVICES,AMD,2015,3109.0,-412.0,2032.0,3109.0,-660.0,3991.0,947.0,792.0,2.87,3674.0,2273.04,Semiconductors/Hardware,881.0,881.0,2014-10-08,542142.0,Doctor Lisa Su,ADVANCED MICRO DEVICES INC (AMD),President/CEO,2022-02-14,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1969-11-07,F,,-7314.0,0.03501381489351407,-0.21228690897394661,-0.2779364920921522,8.042056410058754,-0.13251849469282728,,-2.352524927629463,0.30459954969443553,46.0,0,1.0553892672857608,-0.34353137885814344,3.930027966732105,-0.4444063793242925,0.961758210171077
I,USD,STD,INDL,C,7372,12/31/21,61676,CITRIX SYSTEMS INC,CTXS,2021,6975.517,547.257,3492.341,6975.517,307.499,3217.17,581.6,124.861,94.59,7372.0,11810.60199,Software,6959.0,6959.0,2021-10-01,52347.0,Bob Calderoni,CITRIX SYSTEMS INC (De-listed 09/2022),Chairman/Interim President/Interim CEO,2022-09-30,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959-06-15,M,,5097.728,0.02132790728455163,0.04408261065093814,-0.02175298653048042,8.850161725806476,0.07845396979177313,3.071834353246615,0.7308028924594406,0.08337733246152221,62.0,0,-0.6773650833982051,-0.27530597743840163,-0.18806471044490725,-0.6182375476915621,0.1164894900028803
A,USD,STD,INDL,C,2836,12/31/21,61655,NOVAVAX INC,NVAX,2021,2576.753,-351.673,362.574,2576.753,-1743.751,1146.29,2534.508,75.841,143.07,2836.0,10850.571869999998,Biotech,22589.0,22589.0,2018-03-14,507661.0,Stan Erck,NOVAVAX INC,President/CEO,2023-01-23,10.0,10.0,Executive Director,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1948-04-01,M,,-3619.303,0.07770744149757769,-0.6767241563316313,-0.7425597535130498,7.8542853581735255,-0.13647912702536874,,-1.4045983452818331,0.9836053358626146,73.0,0,-0.5986162497683529,-0.13342965404338525,-0.11640577451831292,1.683520041240194,0.08550762578148682
A,USD,STD,INDL,C,2836,12/31/25,61655,NOVAVAX INC,NVAX,2025,1176.512,-127.753,265.663,1176.512,440.302,1123.479,342.32,162.576,6.72,2836.0,1092.51072,Biotech,22589.0,22589.0,2025-06-20,2107029.0,John Jacobs,NOVAVAX INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967-06-15,M,,-4566.138,0.046854891537861036,0.37424352662786275,0.3209368714356847,7.070309407860407,-0.10858622776478269,,-3.881080685959854,0.29096175814611325,58.0,0,-0.6637970751564273,-0.2472783908292412,-0.17753790169760764,-0.006433528133942844,0.021768553178682218
A,USD,STD,INDL,C,3679,12/31/20,61562,ADVANCED ENERGY INDS INC,AEIS,2020,1647.662,814.739,400.539,1647.662,134.675,1415.826,143.961,38.293,96.97,3679.0,3713.27221,Semiconductors/Hardware,864.0,864.0,2020-10-29,544257.0,Yuval Wasserman,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2021-03-01,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954-06-15,M,,709.692,0.04296089231971495,0.08173703101728388,0.021830270092376126,7.4071125923467545,0.49448187795797927,1.5168009476224151,0.43072669030420074,0.08737289565456993,66.0,0,-0.6773650833982051,-0.27530597743840163,-0.18806471044490725,-0.6182375476915621,0.1164894900028803
A,USD,STD,INDL,C,3679,12/31/21,61562,ADVANCED ENERGY INDS INC,AEIS,2021,1817.34,870.851,467.913,1817.34,134.736,1455.954,161.831,37.589,91.06,3829.0,3422.85434,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,755.107,0.028752462510724112,0.07413912641553039,0.008303529234111831,7.505129172520162,0.4791899149306129,1.3687591898284461,0.41550122706813253,0.0890482793533406,59.0,0,-0.6916225293945008,-0.23947369343537842,-0.222008608786628,-0.5665355396382482,0.9038237180669413
A,USD,STD,INDL,C,3679,12/31/22,61562,ADVANCED ENERGY INDS INC,AEIS,2022,1992.168,1066.267,447.722,1992.168,199.66,1845.422,191.02,37.429,85.78,3829.0,3210.6596200000004,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,931.59,0.02738422281173314,0.10022247119720827,0.04316722595123363,7.596978771937747,0.5352294585597199,1.1023126417038345,0.46762622429433665,0.09588548756932147,60.0,0,-0.6916225293945008,-0.23947369343537842,-0.222008608786628,-0.5665355396382482,0.9038237180669413
A,USD,STD,INDL,C,3679,12/31/23,61562,ADVANCED ENERGY INDS INC,AEIS,2023,2556.757,1144.182,985.009,2556.757,128.284,1655.81,202.439,37.318,108.92,3679.0,4064.67656,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,995.845,0.021703280425218636,0.05017449839777499,0.0014842387831387055,7.846494937533161,0.44751300182223025,1.2676442015853986,0.3894953646357476,0.07917803686466879,61.0,0,-0.6916225293945008,-0.23947369343537842,-0.222008608786628,-0.5665355396382482,0.9038237180669413
A,USD,STD,INDL,C,3679,12/31/24,61562,ADVANCED ENERGY INDS INC,AEIS,2024,2261.894,1203.171,653.873,2261.894,54.214,1482.042,211.834,37.711,115.63,3679.0,4360.52293,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,1014.9,0.02170458904545586,0.023968408776008074,-0.03310071041201345,7.723957794393254,0.5319307624495224,1.2876314167129879,0.448694766421415,0.09365337190867477,62.0,0,-0.6916225293945008,-0.23947369343537842,-0.222008608786628,-0.5665355396382482,0.9038237180669413
A,USD,STD,INDL,C,3679,12/31/25,61562,ADVANCED ENERGY INDS INC,AEIS,2025,2545.8,1362.8,95.7,2545.8,148.4,1798.8,232.4,37.8,209.37,3679.0,7914.186,Semiconductors/Hardware,864.0,864.0,2021-03-01,647302.0,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-06-15,M,,1134.8,0.0325787783416342,0.05829208893078796,0.004985433738609914,7.842200221436334,0.535313064655511,1.7591154385359005,0.44575379055699577,0.09128761096708303,63.0,0,-0.6916225293945008,-0.23947369343537842,-0.222008608786628,-0.5665355396382482,0.9038237180669413
