costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,re
A,USD,STD,INDL,C,ABBV,2015-12-31,016101,-313.0000
A,USD,STD,INDL,C,ABBV,2016-12-31,016101,1792.0000
A,USD,STD,INDL,C,ABBV,2017-12-31,016101,2732.0000
A,USD,STD,INDL,C,ABBV,2018-12-31,016101,888.0000
A,USD,STD,INDL,C,ABBV,2019-12-31,016101,1121.0000
A,USD,STD,INDL,C,ABBV,2020-12-31,016101,-2062.0000
A,USD,STD,INDL,C,ABBV,2021-12-31,016101,228.0000
A,USD,STD,INDL,C,ABBV,2022-12-31,016101,2585.0000
A,USD,STD,INDL,C,ABBV,2023-12-31,016101,-3305.0000
A,USD,STD,INDL,C,ABBV,2024-12-31,016101,-9825.0000
A,USD,STD,INDL,C,ABBV,2025-12-31,016101,-16637.0000
A,USD,STD,INDL,C,ACAD,2015-12-31,141846,-662.5750
A,USD,STD,INDL,C,ACAD,2016-12-31,141846,-933.8730
A,USD,STD,INDL,C,ACAD,2017-12-31,141846,-1224.0700
A,USD,STD,INDL,C,ACAD,2018-12-31,141846,-1469.2350
A,USD,STD,INDL,C,ACAD,2019-12-31,141846,-1703.8250
A,USD,STD,INDL,C,ACAD,2020-12-31,141846,-1985.6700
A,USD,STD,INDL,C,ACAD,2021-12-31,141846,-2153.7680
A,USD,STD,INDL,C,ACAD,2022-12-31,141846,-2370.5260
A,USD,STD,INDL,C,ACAD,2023-12-31,141846,-2430.8130
A,USD,STD,INDL,C,ACAD,2024-12-31,141846,-2204.0940
A,USD,STD,INDL,C,ACAD,2025-12-31,141846,-1811.9410
A,USD,STD,INDL,C,ADI,2015-10-31,001632,4386.4640
A,USD,STD,INDL,C,ADI,2016-10-31,001632,4711.9850
A,USD,STD,INDL,C,ADI,2017-10-31,001632,4849.5800
A,USD,STD,INDL,C,ADI,2018-10-31,001632,5644.6240
A,USD,STD,INDL,C,ADI,2019-10-31,001632,6711.4540
A,USD,STD,INDL,C,ADI,2020-10-31,001632,6986.7770
A,USD,STD,INDL,C,ADI,2021-10-31,001632,7330.7510
A,USD,STD,INDL,C,ADI,2022-10-31,001632,8523.1730
A,USD,STD,INDL,C,ADI,2023-10-31,001632,10168.4960
A,USD,STD,INDL,C,ADI,2024-10-31,001632,10011.3560
A,USD,STD,INDL,C,ADI,2025-10-31,001632,10384.9590
A,USD,STD,INDL,C,AEIS,2015-12-31,061562,68.4440
A,USD,STD,INDL,C,AEIS,2016-12-31,061562,188.4310
A,USD,STD,INDL,C,AEIS,2017-12-31,061562,335.7580
A,USD,STD,INDL,C,AEIS,2018-12-31,061562,509.3340
A,USD,STD,INDL,C,AEIS,2019-12-31,061562,571.8270
A,USD,STD,INDL,C,AEIS,2020-12-31,061562,709.6920
A,USD,STD,INDL,C,AEIS,2021-12-31,061562,755.1070
A,USD,STD,INDL,C,AEIS,2022-12-31,061562,931.5900
A,USD,STD,INDL,C,AEIS,2023-12-31,061562,995.8450
A,USD,STD,INDL,C,AEIS,2024-12-31,061562,1014.9000
A,USD,STD,INDL,C,AEIS,2025-12-31,061562,1134.8000
A,USD,STD,INDL,C,ALGM,2019-03-31,037309,141.1070
A,USD,STD,INDL,C,ALGM,2020-03-31,037309,174.3790
A,USD,STD,INDL,C,ALGM,2021-03-31,037309,-8.3140
A,USD,STD,INDL,C,ALGM,2022-03-31,037309,104.5100
A,USD,STD,INDL,C,ALGM,2023-03-31,037309,289.5310
A,USD,STD,INDL,C,ALGM,2024-03-31,037309,434.1710
A,USD,STD,INDL,C,ALGM,2025-03-31,037309,-84.3430
