PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyRet
10032,72913210,PLXS,7980,2015-01-02,-0.015530
10032,72913210,PLXS,7980,2015-01-05,-0.022677
10032,72913210,PLXS,7980,2015-01-06,-0.013619
10032,72913210,PLXS,7980,2015-01-07,0.008438
10032,72913210,PLXS,7980,2015-01-08,0.014452
10032,72913210,PLXS,7980,2015-01-09,-0.000500
10032,72913210,PLXS,7980,2015-01-12,-0.015004
10032,72913210,PLXS,7980,2015-01-13,0.004062
10032,72913210,PLXS,7980,2015-01-14,0.004298
10032,72913210,PLXS,7980,2015-01-15,-0.014602
10032,72913210,PLXS,7980,2015-01-16,0.016607
10032,72913210,PLXS,7980,2015-01-20,-0.003518
10032,72913210,PLXS,7980,2015-01-21,0.009584
10032,72913210,PLXS,7980,2015-01-22,-0.016737
10032,72913210,PLXS,7980,2015-01-23,-0.000254
10032,72913210,PLXS,7980,2015-01-26,-0.004828
10032,72913210,PLXS,7980,2015-01-27,-0.019918
10032,72913210,PLXS,7980,2015-01-28,-0.003127
10032,72913210,PLXS,7980,2015-01-29,0.004966
10032,72913210,PLXS,7980,2015-01-30,-0.014564
10032,72913210,PLXS,7980,2015-02-02,0.011349
10032,72913210,PLXS,7980,2015-02-03,0.013309
10032,72913210,PLXS,7980,2015-02-04,-0.011589
10032,72913210,PLXS,7980,2015-02-05,0.024231
10032,72913210,PLXS,7980,2015-02-06,0.001018
10032,72913210,PLXS,7980,2015-02-09,0.005845
10032,72913210,PLXS,7980,2015-02-10,0.005053
10032,72913210,PLXS,7980,2015-02-11,-0.004022
10032,72913210,PLXS,7980,2015-02-12,0.007572
10032,72913210,PLXS,7980,2015-02-13,0.002505
10032,72913210,PLXS,7980,2015-02-17,0.003248
10032,72913210,PLXS,7980,2015-02-18,0.000747
10032,72913210,PLXS,7980,2015-02-19,0.004729
10032,72913210,PLXS,7980,2015-02-20,0.006193
10032,72913210,PLXS,7980,2015-02-23,-0.000246
10032,72913210,PLXS,7980,2015-02-24,0.010096
10032,72913210,PLXS,7980,2015-02-25,0.004876
10032,72913210,PLXS,7980,2015-02-26,-0.010674
10032,72913210,PLXS,7980,2015-02-27,-0.012997
10032,72913210,PLXS,7980,2015-03-02,0.016646
10032,72913210,PLXS,7980,2015-03-03,-0.015396
10032,72913210,PLXS,7980,2015-03-04,0.009680
10032,72913210,PLXS,7980,2015-03-05,-0.000246
10032,72913210,PLXS,7980,2015-03-06,-0.004180
10032,72913210,PLXS,7980,2015-03-09,-0.005679
10032,72913210,PLXS,7980,2015-03-10,-0.026322
10032,72913210,PLXS,7980,2015-03-11,0.010457
10032,72913210,PLXS,7980,2015-03-12,0.022716
10032,72913210,PLXS,7980,2015-03-13,-0.001728
10032,72913210,PLXS,7980,2015-03-16,0.016316
10032,72913210,PLXS,7980,2015-03-17,0.000730
10032,72913210,PLXS,7980,2015-03-18,0.010209
10032,72913210,PLXS,7980,2015-03-19,0.000481
10032,72913210,PLXS,7980,2015-03-20,0.016595
10032,72913210,PLXS,7980,2015-03-23,-0.001419
10032,72913210,PLXS,7980,2015-03-24,-0.001658
10032,72913210,PLXS,7980,2015-03-25,-0.039393
10032,72913210,PLXS,7980,2015-03-26,-0.003458
10032,72913210,PLXS,7980,2015-03-27,0.003223
10032,72913210,PLXS,7980,2015-03-30,0.014085
10032,72913210,PLXS,7980,2015-03-31,-0.006579
10032,72913210,PLXS,7980,2015-04-01,0.012019
10032,72913210,PLXS,7980,2015-04-02,0.013088
10032,72913210,PLXS,7980,2015-04-06,0.000957
10032,72913210,PLXS,7980,2015-04-07,-0.005975
10032,72913210,PLXS,7980,2015-04-08,0.007935
10032,72913210,PLXS,7980,2015-04-09,0.002385
10032,72913210,PLXS,7980,2015-04-10,0.008805
10032,72913210,PLXS,7980,2015-04-13,-0.005190
10032,72913210,PLXS,7980,2015-04-14,0.005217
10032,72913210,PLXS,7980,2015-04-15,0.011323
10032,72913210,PLXS,7980,2015-04-16,0.002799
10032,72913210,PLXS,7980,2015-04-17,-0.021866
10032,72913210,PLXS,7980,2015-04-20,0.025922
10032,72913210,PLXS,7980,2015-04-21,0.024108
10032,72913210,PLXS,7980,2015-04-22,-0.008601
10032,72913210,PLXS,7980,2015-04-23,0.016438
10032,72913210,PLXS,7980,2015-04-24,-0.007188
10032,72913210,PLXS,7980,2015-04-27,0.001131
10032,72913210,PLXS,7980,2015-04-28,0.002260
10032,72913210,PLXS,7980,2015-04-29,-0.003833
10032,72913210,PLXS,7980,2015-04-30,-0.025577
10032,72913210,PLXS,7980,2015-05-01,0.016492
10032,72913210,PLXS,7980,2015-05-04,0.006170
10032,72913210,PLXS,7980,2015-05-05,-0.007949
10032,72913210,PLXS,7980,2015-05-06,0.001603
10032,72913210,PLXS,7980,2015-05-07,0.006629
10032,72913210,PLXS,7980,2015-05-08,0.001362
10032,72913210,PLXS,7980,2015-05-11,-0.001587
10032,72913210,PLXS,7980,2015-05-12,0.005678
10032,72913210,PLXS,7980,2015-05-13,0.007227
10032,72913210,PLXS,7980,2015-05-14,0.012108
10032,72913210,PLXS,7980,2015-05-15,-0.011630
10032,72913210,PLXS,7980,2015-05-18,0.011095
10032,72913210,PLXS,7980,2015-05-19,-0.000222
10032,72913210,PLXS,7980,2015-05-20,0.001552
10032,72913210,PLXS,7980,2015-05-21,0.007749
10032,72913210,PLXS,7980,2015-05-22,-0.001318
10032,72913210,PLXS,7980,2015-05-26,-0.010119
10032,72913210,PLXS,7980,2015-05-27,0.009111
10032,72913210,PLXS,7980,2015-05-28,0.007708
10032,72913210,PLXS,7980,2015-05-29,-0.006119
10032,72913210,PLXS,7980,2015-06-01,0.004178
10032,72913210,PLXS,7980,2015-06-02,0.001752
10032,72913210,PLXS,7980,2015-06-03,0.008525
10032,72913210,PLXS,7980,2015-06-04,-0.013654
10032,72913210,PLXS,7980,2015-06-05,0.008130
10032,72913210,PLXS,7980,2015-06-08,-0.005449
10032,72913210,PLXS,7980,2015-06-09,-0.005479
10032,72913210,PLXS,7980,2015-06-10,0.010357
10032,72913210,PLXS,7980,2015-06-11,-0.006979
10032,72913210,PLXS,7980,2015-06-12,0.002855
10032,72913210,PLXS,7980,2015-06-15,-0.014017
10032,72913210,PLXS,7980,2015-06-16,0.007996
10032,72913210,PLXS,7980,2015-06-17,-0.002204
